Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (MPG),Fuel Consumption Hwy (MPG),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/m)
GENESIS,G80 AWD,FULL-SIZE,5.0,8,AS8,Z,13.67529069767442,22.40142857142857,14.2,20,534.30088
GENESIS,G90 AWD,FULL-SIZE,3.3,6,AS8,Z,17.168978102189783,24.24896907216495,11.9,24,449.00586
GENESIS,G90 AWD,FULL-SIZE,5.0,8,AS8,Z,15.47467105263158,23.06029411764706,13.0,22,492.45804
GMC,ACADIA,SUV,2.5,4,A6,X,21.383181818181818,25.56684782608696,10.2,28,384.63226
GMC,ACADIA,SUV,3.6,6,A6,X,18.09346153846154,25.291935483870965,11.3,25,426.4751
GMC,ACADIA AWD,SUV,2.5,4,A6,X,21.001339285714288,25.022872340425533,10.4,27,391.06962
GMC,ACADIA AWD,SUV,3.6,6,A6,X,17.68533834586466,24.759473684210526,11.6,24,436.13114
GMC,CANYON,TRUCK,2.5,4,A6,X,19.60125,25.56684782608696,10.7,26,405.55368
GMC,CANYON,TRUCK,2.5,4,M6,X,19.279918032786888,25.56684782608696,10.9,26,408.77236
GMC,CANYON,TRUCK,2.8,4,A6,D,21.779166666666665,29.77405063291139,9.5,30,410.3817
GMC,CANYON,TRUCK,3.6,6,A8,X,17.553358208955224,24.501562500000002,11.7,24,440.95916
GMC,CANYON 4WD,TRUCK,2.5,4,A6,X,18.520866141732284,24.501562500000002,11.3,25,423.25642
GMC,CANYON 4WD,TRUCK,2.8,4,A6,D,19.43925619834711,28.001785714285713,10.4,27,450.6152
GMC,CANYON 4WD,TRUCK,3.6,6,A8,X,16.80107142857143,23.759090909090908,12.2,23,460.27124
GMC,SAVANA 2500 PASSENGER,VAN,6.0,8,A6,X,10.789678899082569,15.892905405405404,18.6,15,704.89092
GMC,SAVANA 3500 PASSENGER,VAN,6.0,8,A6,X,10.547757847533632,15.786241610738255,19.0,15,716.1563
GMC,SIERRA,TRUCK,5.3,8,A6,X,16.110616438356164,22.83640776699029,12.7,22,477.97398
GMC,SIERRA,TRUCK,5.3,8,A8,X,15.47467105263158,21.982710280373833,13.1,22,497.28606
GMC,SIERRA,TRUCK,6.2,8,A8,Z,14.793396226415094,21.001339285714288,13.8,20,519.81682
GMC,SIERRA FFV,TRUCK,4.3,6,A6,X,17.553358208955224,23.5215,11.9,24,449.00586
GMC,SIERRA FFV,TRUCK,4.3,6,A6,E,12.187305699481865,16.448601398601397,17.1,17,457.05255999999997
GMC,SIERRA FFV,TRUCK,5.3,8,A6,X,16.110616438356164,22.83640776699029,12.7,22,479.58332
GMC,SIERRA FFV,TRUCK,5.3,8,A6,E,11.939847715736041,16.921942446043165,17.1,17,457.05255999999997
GMC,SIERRA 4WD,TRUCK,5.3,8,A6,X,15.681000000000001,21.982710280373833,13.1,22,494.06738
GMC,SIERRA 4WD,TRUCK,5.3,8,A8,X,14.793396226415094,20.453478260869566,13.9,20,526.25418
GMC,SIERRA 4WD,TRUCK,6.2,8,A8,Z,14.7009375,20.103846153846156,14.1,20,531.0822
GMC,SIERRA 4WD FFV,TRUCK,4.3,6,A6,X,16.681914893617023,22.190094339622643,12.5,23,473.14596
