Type,Fuel Consumption Comb (mpg),CO2 Emissions(g/m),Car Technology
SUV,26,407.16302,TV
SUV,24,436.13114,TV
SUV,32,329.9147,TV
SUV,31,333.13338,TV
SUV,31,336.35206,TV
SUV,32,325.08668,TV
SUV,28,370.1482,TV
SUV,25,418.4284,TV
SUV,25,421.64708,TV
SUV,26,395.89764,TV
TWO-SEATER,15,677.53214,TV
TWO-SEATER,18,580.97174,TV
TWO-SEATER,16,643.736,TV
SUV,24,440.95916,TV
SUV,19,537.51956,TV
SUV,29,362.1015,TV
SUV,29,362.1015,TV
SUV,18,569.70636,TV
SUV,19,558.44098,TV
SUV,13,550.39428,TV
SUV,23,458.6619,TV
SUV,23,458.6619,TV
SUV,16,447.39652,TV
SUV,19,555.2223,TV
SUV,19,543.95692,TV
SUV,14,532.69154,TV
SUV,23,455.44322,TV
SUV,23,455.44322,TV
SUV,16,445.78718,TV
SUV,18,569.70636,TV
SUV,19,558.44098,TV
SUV,13,550.39428,TV
COMPACT,50,207.60486,TV
MID-SIZE,47,222.08892,TV
MID-SIZE,29,355.66414,TV
MID-SIZE,27,384.63226,TV
MID-SIZE,26,407.16302,TV
MID-SIZE,37,281.6345,TV
SUV,20,514.9888,TV
COMPACT,29,358.88282,TV
COMPACT,27,384.63226,TV
COMPACT,29,358.88282,TV
COMPACT,27,392.67896,TV
COMPACT,26,407.16302,TV
COMPACT,27,392.67896,TV
COMPACT,22,466.7086,TV
MID-SIZE,23,455.44322,TV
MID-SIZE,22,477.97398,TV
MID-SIZE,22,477.97398,TV
MID-SIZE,25,421.64708,TV
SUV,17,611.5492,TV
SUV,24,432.91246,TV
SUV,25,410.3817,TV
SUV,34,304.16526,TV
FULL-SIZE,24,436.13114,TV
FULL-SIZE,25,418.4284,TV
SUV,22,473.14596,TV
SPECIAL PURPOSE VEHICLE,28,378.1949,TV
SPECIAL PURPOSE VEHICLE,23,452.22454,TV
SUV,23,452.22454,TV
MID-SIZE,31,333.13338,TV
MID-SIZE,25,421.64708,TV
MID-SIZE,45,233.3543,TV
SUV,18,592.23712,TV
SUV,13,556.83164,TV
MID-SIZE,22,469.92728,TV
MID-SIZE,22,469.92728,TV
COMPACT,19,558.44098,TV
COMPACT,18,566.48768,TV
FULL-SIZE,19,537.51956,TV
FULL-SIZE,22,484.41134,TV
SUV,34,304.16526,TV
SUV,35,296.11856,TV
SUV,33,318.64932,TV
SUV,33,315.43064,TV
SUV,32,329.9147,TV
SUV,23,455.44322,TV
SUV,22,466.7086,TV
COMPACT,37,284.85318,TV
COMPACT,38,273.5878,TV
COMPACT,41,255.88506,TV
COMPACT,40,259.10374,TV
COMPACT,38,273.5878,TV
COMPACT,39,270.36912,TV
COMPACT,40,259.10374,TV
MID-SIZE,40,262.32242,TV
MID-SIZE,39,267.15044,TV
MID-SIZE,37,284.85318,TV
MID-SIZE,39,270.36912,TV
MID-SIZE,39,267.15044,TV
VAN,29,358.88282,TV
VAN,29,362.1015,TV
MID-SIZE,37,281.6345,TV
MID-SIZE,35,299.33724,TV
MID-SIZE,39,270.36912,TV
TWO-SEATER,28,378.1949,TV
TWO-SEATER,29,355.66414,TV
TWO-SEATER,29,366.92952,TV
SUV,35,296.11856,TV
COMPACT,30,347.61744,TV
COMPACT,30,347.61744,TV
COMPACT,27,389.46028,TV
COMPACT,20,360.49216,TV
COMPACT,27,389.46028,TV
COMPACT,27,384.63226,TV
COMPACT,27,392.67896,TV
COMPACT,27,389.46028,TV
COMPACT,19,558.44098,TV
COMPACT,18,566.48768,TV
COMPACT,21,489.23936,TV
COMPACT,21,495.67672,TV
COMPACT,36,288.07186,TV
COMPACT,31,341.18008,TV
COMPACT,25,424.86576,TV
COMPACT,22,484.41134,TV
COMPACT,22,484.41134,TV
MID-SIZE,39,312.21196,TV
MID-SIZE,28,378.1949,TV
MID-SIZE,28,370.1482,TV
COMPACT,27,384.63226,TV
SUV,27,389.46028,TV
COMPACT,27,384.63226,TV
COMPACT,28,378.1949,TV
MID-SIZE,32,325.08668,TV
MID-SIZE,24,429.69378,TV
COMPACT,24,432.91246,TV
COMPACT,25,421.64708,TV
MID-SIZE,22,477.97398,TV
SUV,21,498.8954,TV
MID-SIZE,22,477.97398,TV
SUV,21,498.8954,TV
SUV,16,674.31346,TV
SUV,16,655.00138,TV
SUV,24,521.42616,TV
SUV,19,563.269,TV
SUV,18,577.75306,TV
SUV,18,584.19042,TV
SUV,33,370.1482,TV
SUV,25,418.4284,TV
SUV,23,447.39652,TV
SUV,18,411.99104,TV
SUV,27,447.39652,TV
SUV,20,526.25418,TV
SUV,18,572.92504,TV
FULL-SIZE,23,447.39652,TV
FULL-SIZE,24,444.17784,TV
FULL-SIZE,21,489.23936,TV
TWO-SEATER,24,432.91246,TV
TWO-SEATER,22,469.92728,TV
TWO-SEATER,20,526.25418,TV
TWO-SEATER,32,329.9147,TV
TWO-SEATER,31,333.13338,TV
TWO-SEATER,29,362.1015,TV
TWO-SEATER,26,395.89764,TV
TWO-SEATER,17,611.5492,TV
TWO-SEATER,18,580.97174,TV
TWO-SEATER,18,580.97174,TV
COMPACT,36,288.07186,TV
COMPACT,36,288.07186,TV
COMPACT,36,288.07186,TV
COMPACT,36,288.07186,TV
COMPACT,32,321.868,TV
COMPACT,36,288.07186,TV
TWO-SEATER,37,281.6345,TV
TWO-SEATER,39,270.36912,TV
COMPACT,32,321.868,TV
COMPACT,36,288.07186,TV
TWO-SEATER,36,288.07186,TV
TWO-SEATER,36,288.07186,TV
COMPACT,34,307.38394,TV
COMPACT,35,296.11856,TV
COMPACT,34,307.38394,TV
COMPACT,35,296.11856,TV
COMPACT,31,333.13338,TV
COMPACT,33,315.43064,TV
TWO-SEATER,34,307.38394,TV
TWO-SEATER,35,296.11856,TV
COMPACT,31,333.13338,TV
COMPACT,33,315.43064,TV
TWO-SEATER,34,307.38394,TV
TWO-SEATER,35,296.11856,TV
COMPACT,34,307.38394,TV
COMPACT,35,296.11856,TV
COMPACT,34,307.38394,TV
COMPACT,35,296.11856,TV
COMPACT,31,333.13338,TV
COMPACT,33,315.43064,TV
TWO-SEATER,34,307.38394,TV
TWO-SEATER,35,296.11856,TV
COMPACT,31,333.13338,TV
COMPACT,33,315.43064,TV
TWO-SEATER,34,307.38394,TV
TWO-SEATER,35,296.11856,TV
COMPACT,34,304.16526,TV
COMPACT,34,307.38394,TV
COMPACT,30,350.83612,TV
COMPACT,23,463.48992,TV
COMPACT,23,455.44322,TV
COMPACT,24,429.69378,TV
SUV,33,318.64932,TV
SUV,33,318.64932,TV
COMPACT,47,222.08892,TV
COMPACT,44,236.57298,TV
SUV,33,318.64932,TV
SUV,31,336.35206,TV
SUV,28,378.1949,TV
SUV,32,321.868,TV
SUV,32,325.08668,TV
SUV,31,333.13338,TV
